accession	genome	Source	GC_pct	completeness	contamination	checkM2.completeness	checkM2.contamination	primary_cluster	secondary_cluster	length	N50	gtdb_taxonomy	ncbi_isolation_source	ncbi_genome_category	gtdb_representative	ncbi_refseq_category	MAG_source	fBAPS_l1	fBAPS_l2	Study	Age_BP	Continent	Country	sample_host	classification	Host	GUNC.n_contigs	checkM.N50_contigs	QUAL
	ERS3774468.bin.r.11	oral		85.82	1.09			147	147_1	1093311	29922	g__;s__					Ancient			FellowsYates2021-humanaDNA	9200	Europe	Germany	Homo		Human			
	ERS6205395.bin.r.10	oral		70.2	0.35			147	147_1	884493	3159	g__;s__					Ancient			Granehall2021	1300	Europe	Italy	Homo		Human			
	ERS6256718.bin.r.1	oral		87.23	1.06			147	147_1	1110278	11556	g__;s__					Ancient			Ottoni2021	14800	Europe	Italy	Homo		Human			
	ERSX0002001.bin.r.15	oral		95.74	1.09			147	147_1	1378728	149531	g__;s__					Ancient			RIII2023	700	Europe	Great Britain	Homo		Human			
	ERSX0003003.bin.r.17	oral		72.57	2.59			147	147_1	913757	6384	g__;s__					Ancient			SMH2023	700	Europe	Germany	Homo		Human			
	SRS15300801.bin.r.14	oral		86.48	5.67			147	147_1	1097468	8197	g__;s__					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS15300802.bin.r.3	oral		80.09	2.36			147	147_1	1070105	5999	g__;s__					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS15300805.bin.r.22	oral		65.65	2.03			147	147_1	802611	3271	g__;s__					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS6212663.bin.r.8	oral		79.43	1.8			147	147_1	1037556	5572	g__;s__					Ancient			Eisenhofer2020	230	Asia	Japan	Homo		Human			
	ERS4042427.bin.r.16	oral		53.24	0.71			148	148_1	626338	3182	g__;s__					Ancient			Fagernas2020	1100	Europe	Spain	Homo		Human			
	ERSX0003002.bin.r.15	oral		87.94	0.71			148	148_1	1246034	10890	g__;s__					Ancient			SMH2023	700	Europe	Germany	Homo		Human			
	SRS3078200.bin.r.4	oral		57.81	4.37			149	149_0	839206	1634	g__;s__					Ancient			Mann2018	800	Caribbean	Guadeloupe	Homo		Human			
	ERSX0004105.bin.r.3	oral		80.65	3.01			150	150_1	1231050	4296	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	2675	Oceania	Tongatapu	Homo		Human			
	ERSX0004102.bin.r.11	oral		96.1	0.38			150	150_10	1641489	17465	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	454	Oceania	Raiatea	Homo		Human			
	ERS3774484.bin.r.6	oral		82.36	0.38			150	150_100	1274882	4310	g__Hornefia;s__Hornefia minuta					Ancient			FellowsYates2021-humanaDNA	200	Africa	South Africa	Homo		Human			
	ERS6205395.bin.r.11	oral		87.55	0.35			150	150_101	1459489	7457	g__Hornefia;s__Hornefia minuta					Ancient			Granehall2021	1300	Europe	Italy	Homo		Human			
	ERS6205391.bin.r.3	oral		61.85	2.25			150	150_102	1092094	2053	g__Hornefia;s__Hornefia minuta					Ancient			Granehall2021	1300	Europe	Italy	Homo		Human			
	ERS3774481.bin.r.2	oral		88.84	1.09			150	150_103	1431015	7581	g__Hornefia;s__Hornefia minuta					Ancient			FellowsYates2021-humanaDNA	200	Africa	South Africa	Homo		Human			
	ERS2985774.bin.r.6	oral		58.93	2.72			150	150_104	1020892	2941	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS11702775.bin.r.5	oral		78.69	0.4			150	150_105	1361739	2821	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS2985748.bin.r.10	oral		58.83	1.44			150	150_106	1036198	3078	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS2985760.bin.r.5	oral		96.81	1.21			150	150_107	1640519	30310	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS3774485.bin.r.33	oral		91.78	0.71			150	150_108	1445817	7191	g__Hornefia;s__Hornefia minuta					Modern			FellowsYates2021	7	Europe	Spain	Homo		Human			
	ERS2985759.bin.r.1	oral		95.67	0.77			150	150_109	1568558	26052	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERSX0004103.bin.r.3	oral		95.39	0.35			150	150_11	1629365	31103	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	454	Oceania	Raiatea	Homo		Human			
	SRS3078163.bin.r.7	oral		92.67	2.2			150	150_110	1584924	8330	g__Hornefia;s__Hornefia minuta					Ancient			Mann2018	1000	Europe	Ireland	Homo		Human			
	ERS6256713.bin.r.6	oral		81.6	1.77			150	150_111	1385653	4075	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	7400	Europe	Romania	Homo		Human			
	ERS4042423.bin.r.3	oral		86.04	1.06			150	150_112	1252321	6402	g__Hornefia;s__Hornefia minuta					Ancient			Fagernas2020	1100	Europe	Spain	Homo		Human			
	ERS11702732.bin.r.10	oral		94.68	2.84			150	150_113	1654114	10974	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2022	500	Europe	Spain	Homo		Human			
	ERS4042431.bin.r.9	oral		94.11	1.48			150	150_114	1470516	9954	g__Hornefia;s__Hornefia minuta					Ancient			Fagernas2020	1000	Europe	Spain	Homo		Human			
	ERSX0004108.bin.r.1	oral		85.32	2.01			150	150_115	1381459	5002	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	2675	Oceania	Tongatapu	Homo		Human			
	CM_periimplantitis__SP_264SPI_T016__bin.11	oral		55.96631206	1.418439716			150	150_116	1005945	3089	g__Hornefia;s__Hornefia minuta					Modern			CM_periimplantitis	7	Europe	Italy	Homo		Human			
	ERS3774489.bin.r.16	oral		82.69	1.73			150	150_117	1278099	3704	g__Hornefia;s__Hornefia minuta					Modern			FellowsYates2021	7	Europe	Spain	Homo		Human			
	SRS6212655.bin.r.2	oral		90.8	1.42			150	150_118	1469092	7948	g__Hornefia;s__Hornefia minuta					Ancient			Eisenhofer2020	230	Asia	Japan	Homo		Human			
	SRS3078195.bin.r.8	oral		72.57	2.04			150	150_119	1136192	2501	g__Hornefia;s__Hornefia minuta					Ancient			Mann2018	4400	Asia	Mongolia	Homo		Human			
	ERSX0004083.bin.r.4	oral		77.14	0.73			150	150_12	1316117	5090	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	1500	Oceania	Viti_Levu	Homo		Human			
	ERSX0004085.bin.r.7	oral		75.45	1.09			150	150_12	1203332	4124	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	1500	Oceania	Viti_Levu	Homo		Human			
	SRS6212661.bin.r.3	oral		76.44	2.48			150	150_120	1271316	3781	g__Hornefia;s__Hornefia minuta					Ancient			Eisenhofer2020	230	Asia	Japan	Homo		Human			
	ERSX0004059.bin.r.4	oral		95.74	0.59			150	150_121	1569525	31251	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	400	Asia	Taiwan	Homo		Human			
	ERSX0004075.bin.r.4	oral		96.1	0.59			150	150_122	1656116	29534	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	485	Oceania	Taumako_Duff_Islands	Homo		Human			
	ERS3774465.bin.r.4	oral		95.39	1.06			150	150_123	1572391	10102	g__Hornefia;s__Hornefia minuta					Ancient			FellowsYates2021-humanaDNA	4500	Africa	Ethiopia	Homo		Human			
	ERS3774448.bin.r.6	oral		90.43	2.5			150	150_124	1454055	7685	g__Hornefia;s__Hornefia minuta					Ancient			FellowsYates2021-humanaDNA	6200	Africa	South Africa	Homo		Human			
	ERS6256700.bin.r.6	oral		58.25	0.73			150	150_125	847097	3056	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	8100	Europe	Serbia	Homo		Human			
	SRS3078181.bin.r.12	oral		56.93	2.39			150	150_126	989473	1786	g__Hornefia;s__Hornefia minuta					Ancient			Mann2018	4400	Asia	Mongolia	Homo		Human			
	ERS3774470.bin.r.1	oral		54.67	0.35			150	150_127	720324	1784	g__Hornefia;s__Hornefia minuta					Ancient			FellowsYates2021-humanaDNA	15400	Europe	France	Homo		Human			
	ERS3774441.bin.r.19	oral		77.36	2.79			150	150_128	1236739	2541	g__Hornefia;s__Hornefia minuta					Ancient			FellowsYates2021-humanaDNA	102000	Europe	Serbia	Homo		Neanderthal			
	SRS15300796.bin.r.4	oral		93.55	1.06			150	150_129	1716971	15291	g__Hornefia;s__Hornefia minuta					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS15300801.bin.r.11	oral		91.13	1.06			150	150_129	1501917	24934	g__Hornefia;s__Hornefia minuta					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS15300803.bin.r.10	oral		91.76	1.06			150	150_129	1605738	12029	g__Hornefia;s__Hornefia minuta					Ancient			Honap2023	700	North America	USA	Homo		Human			
	ERSX0004003.bin.r.5	oral		91.13	0.35			150	150_13	1559507	26562	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	350	Oceania	Rapa_Nui	Homo		Human			
	ERSX0004004.bin.r.7	oral		96.1	2.48			150	150_13	1561566	11026	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	350	Oceania	Rapa_Nui	Homo		Human			
	ERSX0004005.bin.r.4	oral		78.87	2.41			150	150_13	1273327	4601	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	350	Oceania	Rapa_Nui	Homo		Human			
	ERSX0004006.bin.r.2	oral		91.32	0.35			150	150_13	1530667	9173	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	350	Oceania	Rapa_Nui	Homo		Human			
	ERSX0004009.bin.r.5	oral		89.72	0.71			150	150_13	1600347	17122	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	350	Oceania	Rapa_Nui	Homo		Human			
	ERSX0004011.bin.r.5	oral		95.39	0.71			150	150_13	1751121	15839	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	350	Oceania	Rapa_Nui	Homo		Human			
	ERSX0004012.bin.r.2	oral		93.26	1.77			150	150_13	1741764	37130	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	350	Oceania	Rapa_Nui	Homo		Human			
	ERSX0004013.bin.r.1	oral		94.68	0.35			150	150_13	1698790	20736	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	350	Oceania	Rapa_Nui	Homo		Human			
	ERSX0004014.bin.r.3	oral		93.03	2.72			150	150_13	1649913	14017	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	350	Oceania	Rapa_Nui	Homo		Human			
	ERSX0004015.bin.r.6	oral		96.81	0.35			150	150_13	1786695	46827	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	350	Oceania	Rapa_Nui	Homo		Human			
	ERSX0004016.bin.r.7	oral		78.92	2.67			150	150_13	1183968	4765	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	350	Oceania	Rapa_Nui	Homo		Human			
	SRS15300794.bin.r.10	oral		89.45	1.8			150	150_130	1397536	6031	g__Hornefia;s__Hornefia minuta					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS15300791.bin.r.4	oral		95.39	0.43			150	150_131	1638424	28408	g__Hornefia;s__Hornefia minuta					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS15300802.bin.r.19	oral		96.81	1.42			150	150_132	1662799	26228	g__Hornefia;s__Hornefia minuta					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS15300805.bin.r.23	oral		96.1	1.77			150	150_133	1821714	18912	g__Hornefia;s__Hornefia minuta					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS15300787.bin.r.14	oral		89.55	1.3			150	150_134	1547183	11924	g__Hornefia;s__Hornefia minuta					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS15300788.bin.r.5	oral		94.72	0.71			150	150_135	1664093	17159	g__Hornefia;s__Hornefia minuta					Ancient			Honap2023	700	North America	USA	Homo		Human			
	ERS6256701.bin.r.9	oral		67.75	1.77			150	150_136	1092751	3362	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	7600	Europe	Serbia	Homo		Human			
	ERS6256703.bin.r.3	oral		86.94	0.71			150	150_136	1244966	3311	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	7600	Europe	Serbia	Homo		Human			
	ERS6256693.bin.r.5	oral		92.2	3.69			150	150_137	1599278	5930	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	9300	Europe	Serbia	Homo		Human			
	ERS6256705.bin.r.4	oral		89.02	1.06			150	150_138	1471057	6622	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	7500	Europe	Serbia	Homo		Human			
	ERS6256704.bin.r.5	oral		69.7	2.48			150	150_139	942701	2066	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	7600	Europe	Serbia	Homo		Human			
	ERSX0004018.bin.r.5	oral		94.68	0.35			150	150_14	1616443	18453	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	215	Oceania	Efate	Homo		Human			
	ERS6256716.bin.r.8	oral		89.3	2.34			150	150_140	1512829	7455	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	1150	Europe	Italy	Homo		Human			
	ERS6256718.bin.r.4	oral		93.26	0.78			150	150_141	1591125	24505	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	14800	Europe	Italy	Homo		Human			
	ERS6256719.bin.r.9	oral		89.34	3.9			150	150_142	1491797	7653	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	14800	Europe	Italy	Homo		Human			
	ERS3774458.bin.r.2	oral		90.62	0.35			150	150_143	1566112	13511	g__Hornefia;s__Hornefia minuta					Ancient			FellowsYates2021-humanaDNA	9500	Europe	Spain	Homo		Human			
	ERS6256709.bin.r.8	oral		94.85	2.29			150	150_144	1605410	6938	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	12600	Europe	Romania	Homo		Human			
	ERS3774464.bin.r.22	oral		95.74	0.35			150	150_145	1574979	20896	g__Hornefia;s__Hornefia minuta					Ancient			FellowsYates2021-humanaDNA	9000	Europe	Spain	Homo		Human			
	SRS6212658.bin.r.2	oral		66.56	1.06			150	150_146	1168296	2224	g__Hornefia;s__Hornefia minuta					Ancient			Eisenhofer2020	2700	Asia	Japan	Homo		Human			
	ERSX0004017.bin.r.5	oral		78.52	0.71			150	150_15	1144403	3550	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	653	Oceania	Efate	Homo		Human			
	ERSX0004020.bin.r.1	oral		95.74	1.06			150	150_16	1625784	12955	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	155	Oceania	Efate	Homo		Human			
	ERSX0004033.bin.r.4	oral		67.08	1.42			150	150_17	941824	2137	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	2825	Oceania	Efate	Homo		Human			
	ERSX0004050.bin.r.1	oral		50.27	0.02			150	150_18	695221	1734	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	2200	Oceania	Vao	Homo		Human			
	ERSX0004021.bin.r.3	oral		96.81	0.35			150	150_19	1640546	25242	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	150	Oceania	Efate	Homo		Human			
	ERSX0004107.bin.r.3	oral		96.81	0.35			150	150_2	1728089	19604	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	2675	Oceania	Tongatapu	Homo		Human			
	ERSX0004019.bin.r.7	oral		96.1	0.35			150	150_20	1834406	30239	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	140	Oceania	Efate	Homo		Human			
	ERS6256714.bin.r.3	oral		63.97	1.42			150	150_21	898212	2898	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	11600	Europe	Italy	Homo		Human			
	ERS6256717.bin.r.8	oral		85.97	2.01			150	150_21	1460988	5464	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	10600	Europe	Italy	Homo		Human			
	ERS3774468.bin.r.14	oral		89.01	0.95			150	150_22	1477911	20297	g__Hornefia;s__Hornefia minuta					Ancient			FellowsYates2021-humanaDNA	9200	Europe	Germany	Homo		Human			
	ERS6256698.bin.r.14	oral		76.86	2.72			150	150_23	1337362	4022	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	7600	Europe	Serbia	Homo		Human			
	SRS15300800.bin.r.10	oral		96.81	0.35			150	150_24	1713038	36652	g__Hornefia;s__Hornefia minuta					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS15300811.bin.r.8	oral		91.13	0.35			150	150_24	1609377	35007	g__Hornefia;s__Hornefia minuta					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS15300795.bin.r.12	oral		96.81	0.35			150	150_25	1598834	27137	g__Hornefia;s__Hornefia minuta					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS15300793.bin.r.10	oral		91.6	0.59			150	150_26	1638748	9054	g__Hornefia;s__Hornefia minuta					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS3078175.bin.r.4	oral		56.18	0.61			150	150_27	940478	1772	g__Hornefia;s__Hornefia minuta					Ancient			Mann2018	700	North America	USA	Homo		Human			
	ERSX0004060.bin.r.5	oral		96.1	1.77			150	150_28	1673357	22230	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	485	Oceania	Taumako_Duff_Islands	Homo		Human			
	ERSX0004063.bin.r.2	oral		95.74	0.35			150	150_28	1737076	36661	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	485	Oceania	Taumako_Duff_Islands	Homo		Human			
	ERSX0004066.bin.r.8	oral		87.59	3.9			150	150_28	1577300	28886	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	485	Oceania	Taumako_Duff_Islands	Homo		Human			
	ERSX0004070.bin.r.5	oral		96.81	0.35			150	150_28	1650826	27800	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	485	Oceania	Taumako_Duff_Islands	Homo		Human			
	ERSX0004074.bin.r.4	oral		94.15	1.3			150	150_28	1606820	13110	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	485	Oceania	Taumako_Duff_Islands	Homo		Human			
	SRS4625237.bin.r.1	oral		87.03	2.95			150	150_29	1499075	5999	g__Hornefia;s__Hornefia minuta					Ancient			Ozga2019	100	Africa	Tanzania	Pan		Chimpanzee			
	ERSX0004106.bin.r.4	oral		91.18	0.35			150	150_3	1415489	6519	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	2675	Oceania	Tongatapu	Homo		Human			
	SRS4625245.bin.r.18	oral		94.33	1.06			150	150_30	1560294	18142	g__Hornefia;s__Hornefia minuta					Ancient			Ozga2019	100	Africa	Tanzania	Pan		Chimpanzee			
	CMC018.B.bin.r.9	oral		64.6	1.42			150	150_31	884100	4848	g__Hornefia;s__Hornefia minuta					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	CMC023.A.bin.r.110	oral		95.18	0			150	150_32	1410513	20643	g__Hornefia;s__Hornefia minuta					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	CMC021.B.bin.r.85	oral		67.29	0.43			150	150_33	857512	4671	g__Hornefia;s__Hornefia minuta					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	CMC035.B.bin.r.84	oral		96.81	0.35			150	150_34	1736113	89875	g__Hornefia;s__Hornefia minuta					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	CMC038.B.bin.r.20	oral		94.33	0.35			150	150_35	1359584	19094	g__Hornefia;s__Hornefia minuta					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	CMC004.B.bin.r.39	oral		89.83	1.06			150	150_36	1471045	10146	g__Hornefia;s__Hornefia minuta					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
GCA_003433295.1	GCA_003433295.1_ASM343329v1_genomic	oral	45.7602106318635	96.81	0.6			150	150_37	1906764	1903428	g__Hornefia;s__Hornefia minuta	curette	none	t	na	NCBI isolate												
	SEQF3052.1	oral		96.81	0.6			150	150_37	1906764	1903428	g__Hornefia;s__Hornefia minuta					HOMD			HOMD	7	North America	USA	Homo		Human			
	ERS3395771.bin.r.28	oral		93.14	0.71			150	150_38	1598770	30120	g__Hornefia;s__Hornefia minuta					Modern			Velsko2019	7	Europe	Spain	Homo		Human			
	ERS3395772.bin.r.4	oral		93.14	0.35			150	150_38	1600712	23673	g__Hornefia;s__Hornefia minuta					Modern			Velsko2019	7	Europe	Spain	Homo		Human			
	ERS2985777.bin.r.6	oral		59.64	0			150	150_39	1009062	3393	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS3774490.bin.r.27	oral		79.65	1.8			150	150_39	1188108	3089	g__Hornefia;s__Hornefia minuta					Modern			FellowsYates2021	7	Europe	Spain	Homo		Human			
	ERSX0004024.bin.r.2	oral		50.3	0.9			150	150_4	707378	1554	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	390	Oceania	Futuna	Homo		Human			
	ERS11702731.bin.r.11	oral		95.39	1.06			150	150_40	1592773	31484	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2022	500	Europe	Spain	Homo		Human			
	ERS3395773.bin.r.39	oral		95.04	0.35			150	150_41	1576182	38189	g__Hornefia;s__Hornefia minuta					Modern			Velsko2019	7	Europe	Spain	Homo		Human			
	ERS3774473.bin.r.4	oral		69.92	0.71			150	150_42	1122521	3152	g__Hornefia;s__Hornefia minuta					Ancient			FellowsYates2021-humanaDNA	300	Africa	Morocco	Homo		Human			
	ERS11702726.bin.r.4	oral		93.97	0.35			150	150_43	1653093	31563	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2022	200	Europe	Spain	Homo		Human			
	SRS473746.bin.r.2	oral		96.81	2.84			150	150_44	1704055	56060	g__Hornefia;s__Hornefia minuta					Ancient			Warinner2014	900	Europe	Germany	Homo		Human			
	ERS11702727.bin.r.4	oral		91.84	0.59			150	150_45	1435150	8776	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2022	200	Europe	Spain	Homo		Human			
	ERS3395767.bin.r.5	oral		93.38	0.35			150	150_46	1473461	12051	g__Hornefia;s__Hornefia minuta					Modern			Velsko2019	7	Europe	Spain	Homo		Human			
	ERS2985756.bin.r.5	oral		91.95	3.61			150	150_47	1544809	6799	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS2985785.bin.r.4	oral		66.05	7.2			150	150_48	1088980	2047	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS2985778.bin.r.1	oral		82.6	4.68			150	150_49	1571969	5912	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERSX0004062.bin.r.1	oral		51.3	1.51			150	150_5	725500	1635	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	485	Oceania	Taumako_Duff_Islands	Homo		Human			
	SRS3078192.bin.r.1	oral		67.59	0.02			150	150_50	1093087	3092	g__Hornefia;s__Hornefia minuta					Ancient			Mann2018	1000	Europe	Ireland	Homo		Human			
	ERS11702787.bin.r.8	oral		89.25	0.35			150	150_51	1550892	12047	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS2985751.bin.r.7	oral		56.82	1.06			150	150_52	780335	3191	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS11702781.bin.r.6	oral		95.39	2.84			150	150_53	1612429	15656	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS11702810.bin.r.2	oral		52.72	4.85			150	150_53	739934	1582	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS11702739.bin.r.2	oral		96.1	0.71			150	150_54	1652165	26697	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS11702758.bin.r.2	oral		72.74	0.59			150	150_55	1102376	3340	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS11702801.bin.r.7	oral		86.94	1.06			150	150_56	1422925	7264	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS11702780.bin.r.3	oral		66.89	1.56			150	150_57	1099127	2268	g__Hornefia;s__Hornefia minuta					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS6205398.bin.r.6	oral		92.91	2.01			150	150_58	1506384	14027	g__Hornefia;s__Hornefia minuta					Ancient			Granehall2021	1300	Europe	Italy	Homo		Human			
	ERS3774477.bin.r.2	oral		83.47	3.24			150	150_59	1228767	4409	g__Hornefia;s__Hornefia minuta					Ancient			FellowsYates2021-humanaDNA	300	Europe	Portugal	Homo		Human			
	ERSX0004071.bin.r.1	oral		95.39	0.35			150	150_6	1695964	28065	g__Hornefia;s__Hornefia minuta					Ancient			PacificCalculus	485	Oceania	Taumako_Duff_Islands	Homo		Human			
	ERS6256712.bin.r.5	oral		82.39	3.01			150	150_60	1321630	6102	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	7400	Europe	Romania	Homo		Human			
	ERS6205397.bin.r.2	oral		60.98	0.24			150	150_61	937911	1901	g__Hornefia;s__Hornefia minuta					Ancient			Granehall2021	1300	Europe	Italy	Homo		Human			
	SRS3078131.bin.r.6	oral		89.81	3.99			150	150_62	1398543	3408	g__Hornefia;s__Hornefia minuta					Ancient			Mann2018	1000	Europe	Ireland	Homo		Human			
	ERS6205386.bin.r.3	oral		86.02	2.43			150	150_63	1398948	4354	g__Hornefia;s__Hornefia minuta					Ancient			Granehall2021	4800	Europe	Italy	Homo		Human			
	ERS6205387.bin.r.9	oral		75.35	3			150	150_63	1242545	2788	g__Hornefia;s__Hornefia minuta					Ancient			Granehall2021	4800	Europe	Italy	Homo		Human			
	ERS6256686.bin.r.4	oral		59.52	3.8			150	150_63	831915	1903	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	7100	Europe	Serbia	Homo		Human			
	ERS6256724.bin.r.7	oral		90.31	1.09			150	150_63	1522714	6720	g__Hornefia;s__Hornefia minuta					Ancient			Ottoni2021	5700	Europe	Italy	Homo		Human			
	ERS6636085.bin.r.9	oral		68.66	0.24			150	150_63	869231	3011	g__Hornefia;s__Hornefia minuta					Ancient			Fagernas2022	4700	Europe	Spain	Homo		Human			
	ERS6636090.bin.r.7	oral		69.52	0.26			150	150_63	997651	3399	g__Hornefia;s__Hornefia minuta					Ancient			Fagernas2022	4700	Europe	Spain	Homo		Human			
	ERS6636099.bin.r.20	oral		95.51	0.35			150	150_63	1604201	14514	g__Hornefia;s__Hornefia minuta					Ancient			Fagernas2022	4700	Europe	Spain	Homo		Human			
	ERS6636154.bin.r.7	oral		96.81	2.13			150	150_63	1615620	17671	g__Hornefia;s__Hornefia minuta					Ancient			Fagernas2022	4700	Europe	Spain	Homo		Human			
	ERSX0003002.bin.r.8	oral		93.03	0.59			150	150_63	1479756	18945	g__Hornefia;s__Hornefia minuta					Ancient			SMH2023	700	Europe	Germany	Homo		Human			
	ERSX0003003.bin.r.49	oral		93.97	0.35			150	150_63	1569354	17974	g__Hornefia;s__Hornefia minuta					Ancient			SMH2023	700	Europe	Germany	Homo		Human			
	SRS11653594.bin.r.3	oral		62.85	4.63			150	150_63	838914	2232	g__Hornefia;s__Hornefia minuta					Ancient			Quagliariello2022	6300	Europe	Italy	Homo		Human			
