genome,completeness,contamination,length,N50
GCA_023438925.1_ASM2343892v1_genomic.fna,90.9,0.0,2077462,26189
GCA_023440755.1_ASM2344075v1_genomic.fna,54.02,0.0,1292246,5497
GCA_023453965.1_ASM2345396v1_genomic.fna,53.45,0.0,812716,5282
GCA_024402995.1_ASM2440299v1_genomic.fna,86.24,0.71,1693798,20284
GCA_024403005.1_ASM2440300v1_genomic.fna,91.7,0.24,1646047,9916
GCA_024403035.1_ASM2440303v1_genomic.fna,80.9,0.71,1463359,138199
GCA_024403055.1_ASM2440305v1_genomic.fna,53.65,0.0,1289836,23106
GCA_024403065.1_ASM2440306v1_genomic.fna,89.72,1.89,1656709,11858
GCA_024403115.1_ASM2440311v1_genomic.fna,93.62,0.0,1081448,39405
GCA_024403135.1_ASM2440313v1_genomic.fna,93.36,0.27,1164697,40437
GCA_024403155.1_ASM2440315v1_genomic.fna,80.17,2.48,1142504,12015
GCA_024403175.1_ASM2440317v1_genomic.fna,77.56,1.85,1319233,7516
GCA_024403185.1_ASM2440318v1_genomic.fna,90.27,0.0,1560719,31559
GCA_024403215.1_ASM2440321v1_genomic.fna,82.39,0.3,1026910,14872
GCA_024682015.1_ASM2468201v1_genomic.fna,76.38,4.96,2204857,8867
GCA_024684465.1_ASM2468446v1_genomic.fna,92.44,3.9,2063892,14054
GCA_024685755.1_ASM2468575v1_genomic.fna,82.28,3.14,1746080,6106
GCA_024689085.1_ASM2468908v1_genomic.fna,89.24,4.37,1943698,20247
GCA_024689865.1_ASM2468986v1_genomic.fna,84.87,0.18,1505260,27657
GCA_024693105.1_ASM2469310v1_genomic.fna,92.2,0.0,1895225,25329
GCA_024697325.1_ASM2469732v1_genomic.fna,89.89,3.19,1738556,16813
GCA_024697655.1_ASM2469765v1_genomic.fna,77.34,4.89,1514957,9765
GCA_900066305.1_13414_6_60_genomic.fna,98.58,2.13,2648172,157791
GCA_900066695.1_14207_7_28_genomic.fna,100.0,0.71,4295701,739639
GCA_900112915.1_IMG-taxon_2593339213_annotated_assembly_genomic.fna,98.58,0.71,1784900,119674
GCA_900313365.1_Rumen_uncultured_genome_RUG792_genomic.fna,81.87,5.41,1854584,6574
GCA_900314015.1_Rumen_uncultured_genome_hRUG866_genomic.fna,96.1,0.71,1843540,16535
GCA_900314185.1_Rumen_uncultured_genome_hRUG882_genomic.fna,92.91,4.26,2302892,13131
GCA_900314835.1_Rumen_uncultured_genome_RUG038_genomic.fna,98.35,0.78,1863518,29429
GCA_900315125.1_Rumen_uncultured_genome_RUG067_genomic.fna,97.73,1.42,2315051,38533
GCA_900315485.1_Rumen_uncultured_genome_RUG099_genomic.fna,97.16,2.13,2524716,66427
GCA_900315555.1_Rumen_uncultured_genome_RUG100_genomic.fna,97.16,2.36,1817637,18773
GCA_900315625.1_Rumen_uncultured_genome_RUG119_genomic.fna,96.81,0.0,1716975,18250
GCA_900315645.1_Rumen_uncultured_genome_RUG118_genomic.fna,96.81,1.11,1800715,17252
GCA_900315895.1_Rumen_uncultured_genome_RUG141_genomic.fna,96.45,1.3,1736131,53879
GCA_900317005.1_Rumen_uncultured_genome_RUG247_genomic.fna,94.33,3.55,1932887,19647
GCA_900317675.1_Rumen_uncultured_genome_RUG321_genomic.fna,92.8,3.43,1982930,17955
GCA_900318105.1_Rumen_uncultured_genome_RUG349_genomic.fna,92.34,1.95,1475433,24657
GCA_900318155.1_Rumen_uncultured_genome_RUG361_genomic.fna,92.2,2.13,2076612,13523
GCA_900318435.1_Rumen_uncultured_genome_RUG398_genomic.fna,91.49,5.2,2332356,39492
GCA_900319725.1_Rumen_uncultured_genome_RUG524_genomic.fna,89.02,2.36,1719296,7997
GCA_900320285.1_Rumen_uncultured_genome_RUG576_genomic.fna,88.03,0.71,2017180,38642
GCA_900321625.1_Rumen_uncultured_genome_RUG708_genomic.fna,84.48,4.31,2117048,52147
GCA_900321685.1_Rumen_uncultured_genome_RUG706_genomic.fna,84.54,0.92,2036587,11736
GCA_900322045.1_Rumen_uncultured_genome_RUG754_genomic.fna,83.01,0.99,1561859,7726
GCA_900450455.1_52683_A04_genomic.fna,100.0,0.71,1906995,1537028
GCA_900538685.1_UMGS46_genomic.fna,99.29,0.0,1821710,54010
GCA_900539045.1_UMGS95_genomic.fna,98.58,0.0,2223395,181749
GCA_900540015.1_UMGS192_genomic.fna,97.16,0.0,1373170,62200
GCA_900540145.1_UMGS207_genomic.fna,98.23,0.24,2054908,26689
GCA_900541405.1_UMGS342_genomic.fna,95.74,0.0,2137624,35426
GCA_900542245.1_UMGS434_genomic.fna,94.49,0.0,2270996,15722
GCA_900542295.1_UMGS452_genomic.fna,94.33,0.0,1830311,111522
GCA_900542385.1_UMGS458_genomic.fna,94.28,0.0,1749361,12105
GCA_900542565.1_UMGS473_genomic.fna,97.5,0.71,2295861,36376
GCA_900543485.1_UMGS574_genomic.fna,96.45,0.71,2474898,79564
GCA_900545135.1_UMGS736_genomic.fna,95.74,0.95,2209522,76320
GCA_900545775.1_UMGS812_genomic.fna,96.93,1.42,2042434,41854
GCA_900547295.1_UMGS973_genomic.fna,95.77,1.77,2445608,30237
GCA_900549125.1_UMGS1157_genomic.fna,90.43,1.51,1918558,13793
GCA_900551415.1_UMGS1400_genomic.fna,90.85,2.88,2268754,16709
GCA_900551775.1_UMGS1437_genomic.fna,93.26,3.55,4499523,11598
GCA_900553025.1_UMGS1571_genomic.fna,76.95,1.11,1325985,26571
GCA_900751825.1_ERS235507_28_genomic.fna,89.01,0.78,1783287,14618
GCA_900754705.1_ERS396505_78_genomic.fna,92.79,0.53,2368871,14440
GCA_900754795.1_ERS396508_43_genomic.fna,78.37,0.02,1506146,24769
GCA_900754805.1_ERS396508_5_genomic.fna,74.82,0.35,2026544,5364
GCA_900754975.1_ERS396523_115_genomic.fna,66.26,0.0,1583762,5868
GCA_900758185.1_ERS608488_58_genomic.fna,70.22,0.71,1706923,6326
GCA_900759025.1_ERS608574_13_genomic.fna,84.4,0.0,2116968,29299
GCA_900760265.1_SRS014923_17_genomic.fna,97.52,1.42,2211375,67439
GCA_900762645.1_SRS147652_36_genomic.fna,94.33,0.0,2258143,62518
GCA_900766045.1_SRS295016_24_genomic.fna,90.78,0.71,2267255,40760
GCA_902362435.1_MGYG-HGUT-00040_genomic.fna,98.58,2.13,2648172,157791
GCA_902362805.1_MGYG-HGUT-00063_genomic.fna,100.0,0.71,4295701,739639
GCA_902363245.1_MGYG-HGUT-00103_genomic.fna,100.0,2.13,4467427,374449
GCA_902363595.1_MGYG-HGUT-00126_genomic.fna,98.58,1.42,4489646,226409
GCA_902388795.1_UHGG_MGYG-HGUT-02597_genomic.fna,87.4,0.71,1757446,7429
GCA_902755035.1_Rumen_uncultured_genome_RUG10038_genomic.fna,89.02,2.36,1719296,7997
GCA_902755305.1_Rumen_uncultured_genome_RUG10056_genomic.fna,88.03,0.71,2017180,38642
GCA_902755535.1_Rumen_uncultured_genome_RUG10065_genomic.fna,98.35,0.78,1863518,29429
GCA_902756305.1_Rumen_uncultured_genome_RUG10138_genomic.fna,97.16,2.13,2524716,66427
GCA_902756655.1_Rumen_uncultured_genome_RUG10187_genomic.fna,81.87,5.41,1854584,6574
GCA_902757215.1_Rumen_uncultured_genome_RUG10240_genomic.fna,84.54,0.92,2036587,11736
GCA_902758635.1_Rumen_uncultured_genome_RUG10379_genomic.fna,92.8,3.43,1982930,17955
GCA_902760855.1_Rumen_uncultured_genome_RUG10605_genomic.fna,85.79,4.26,1612537,15536
GCA_902762665.1_Rumen_uncultured_genome_RUG10781_genomic.fna,82.74,3.43,1420230,7100
GCA_902762915.1_Rumen_uncultured_genome_RUG10814_genomic.fna,98.94,0.0,2020939,44463
GCA_902763055.1_Rumen_uncultured_genome_RUG10822_genomic.fna,94.68,2.84,2434322,24437
GCA_902763455.1_Rumen_uncultured_genome_RUG10866_genomic.fna,84.45,6.56,1780152,7595
GCA_902763505.1_Rumen_uncultured_genome_RUG10876_genomic.fna,95.39,0.0,2285431,113815
GCA_902763995.1_Rumen_uncultured_genome_RUG10914_genomic.fna,98.58,0.71,2022870,53447
GCA_902765035.1_Rumen_uncultured_genome_RUG11020_genomic.fna,81.05,1.42,1762696,7037
GCA_902765905.1_Rumen_uncultured_genome_RUG11112_genomic.fna,97.87,1.42,1941651,47002
GCA_902766185.1_Rumen_uncultured_genome_RUG11137_genomic.fna,83.51,2.48,1937951,6812
GCA_902766915.1_Rumen_uncultured_genome_RUG11214_genomic.fna,81.51,0.77,1443437,7695
GCA_902772205.1_Rumen_uncultured_genome_RUG11742_genomic.fna,91.2,2.13,2010288,21771
GCA_902772545.1_Rumen_uncultured_genome_RUG11785_genomic.fna,87.24,1.89,1585817,10027
GCA_902772685.1_Rumen_uncultured_genome_RUG11791_genomic.fna,80.38,2.48,1796459,9298
GCA_902773665.1_Rumen_uncultured_genome_RUG11894_genomic.fna,98.56,0.0,2219984,89555
GCA_902773835.1_Rumen_uncultured_genome_RUG11913_genomic.fna,95.74,1.42,1891618,72035
GCA_902774195.1_Rumen_uncultured_genome_RUG11940_genomic.fna,82.25,4.94,2103760,5024
GCA_902774265.1_Rumen_uncultured_genome_RUG11951_genomic.fna,96.3,0.71,3256017,59664
GCA_902774615.1_Rumen_uncultured_genome_RUG11988_genomic.fna,96.81,1.77,2229336,31907
GCA_902775345.1_Rumen_uncultured_genome_RUG12063_genomic.fna,99.82,0.71,2252933,180064
GCA_902776285.1_Rumen_uncultured_genome_RUG12153_genomic.fna,96.45,2.13,2072437,79794
GCA_902776715.1_Rumen_uncultured_genome_RUG12195_genomic.fna,97.3,1.42,2069420,57878
GCA_902776725.1_Rumen_uncultured_genome_RUG12197_genomic.fna,98.82,0.0,1454052,87484
GCA_902778035.1_Rumen_uncultured_genome_RUG12327_genomic.fna,94.7,0.71,1844384,156911
GCA_902778565.1_Rumen_uncultured_genome_RUG12385_genomic.fna,89.01,0.0,1783591,29370
GCA_902778585.1_Rumen_uncultured_genome_RUG12387_genomic.fna,99.27,0.73,1997526,64690
GCA_902779185.1_Rumen_uncultured_genome_RUG12442_genomic.fna,94.41,3.19,2249321,48322
GCA_902780815.1_Rumen_uncultured_genome_RUG12610_genomic.fna,93.17,3.01,2073355,15315
GCA_902780845.1_Rumen_uncultured_genome_RUG12614_genomic.fna,95.63,0.71,1692793,17766
GCA_902781395.1_Rumen_uncultured_genome_RUG12658_genomic.fna,95.39,0.71,1953425,61654
GCA_902781405.1_Rumen_uncultured_genome_RUG12669_genomic.fna,87.92,2.13,1752467,10916
GCA_902781775.1_Rumen_uncultured_genome_RUG12705_genomic.fna,97.28,2.13,1861599,34272
GCA_902783525.1_Rumen_uncultured_genome_RUG12878_genomic.fna,81.34,1.77,1511660,6731
GCA_902783695.1_Rumen_uncultured_genome_RUG12895_genomic.fna,91.73,0.83,1607337,12053
GCA_902784035.1_Rumen_uncultured_genome_RUG12926_genomic.fna,93.96,0.24,1604338,11973
GCA_902785975.1_Rumen_uncultured_genome_RUG13129_genomic.fna,88.53,2.36,1697628,12462
GCA_902786035.1_Rumen_uncultured_genome_RUG13131_genomic.fna,93.97,0.0,2171375,25816
GCA_902786065.1_Rumen_uncultured_genome_RUG13143_genomic.fna,89.69,0.71,2399837,31278
GCA_902786355.1_Rumen_uncultured_genome_RUG13158_genomic.fna,97.89,0.71,2501825,102307
GCA_902786815.1_Rumen_uncultured_genome_RUG13204_genomic.fna,84.4,0.0,2208635,104683
GCA_902786855.1_Rumen_uncultured_genome_RUG13222_genomic.fna,98.69,0.71,2897730,111616
GCA_902787455.1_Rumen_uncultured_genome_RUG13276_genomic.fna,90.54,1.77,2032481,12387
GCA_902787725.1_Rumen_uncultured_genome_RUG13296_genomic.fna,83.75,3.19,1565342,11633
GCA_902787875.1_Rumen_uncultured_genome_RUG13316_genomic.fna,85.42,3.37,1620544,9758
GCA_902787995.1_Rumen_uncultured_genome_RUG13329_genomic.fna,97.98,1.42,2434258,59309
GCA_902788245.1_Rumen_uncultured_genome_RUG13350_genomic.fna,89.89,4.96,1734444,14085
GCA_902788265.1_Rumen_uncultured_genome_RUG13361_genomic.fna,98.58,0.59,1799496,76913
GCA_902788795.1_Rumen_uncultured_genome_RUG13409_genomic.fna,81.35,2.15,1884359,9661
GCA_902788925.1_Rumen_uncultured_genome_RUG13419_genomic.fna,87.06,2.84,1822588,9513
GCA_902788965.1_Rumen_uncultured_genome_RUG13414_genomic.fna,86.81,0.71,1684495,17531
GCA_902789545.1_Rumen_uncultured_genome_RUG13474_genomic.fna,98.94,1.65,1831564,25831
GCA_902789655.1_Rumen_uncultured_genome_RUG13493_genomic.fna,92.29,7.09,3094840,53936
GCA_902790565.1_Rumen_uncultured_genome_RUG13590_genomic.fna,98.58,0.0,1735243,22660
GCA_902790725.1_Rumen_uncultured_genome_RUG13598_genomic.fna,95.17,1.42,1912311,31938
GCA_902790765.1_Rumen_uncultured_genome_RUG13606_genomic.fna,95.04,0.0,2106844,192657
GCA_902790775.1_Rumen_uncultured_genome_RUG13609_genomic.fna,84.75,0.0,2012654,64697
GCA_902790885.1_Rumen_uncultured_genome_RUG13621_genomic.fna,87.01,3.69,2185452,10429
GCA_902790905.1_Rumen_uncultured_genome_RUG13615_genomic.fna,100.0,0.0,2008704,62474
GCA_902790965.1_Rumen_uncultured_genome_RUG13623_genomic.fna,92.66,0.71,1872461,19756
GCA_902791415.1_Rumen_uncultured_genome_RUG13667_genomic.fna,97.04,0.71,1563627,162461
GCA_902791555.1_Rumen_uncultured_genome_RUG13675_genomic.fna,84.75,4.61,2164585,18088
GCA_902792265.1_Rumen_uncultured_genome_RUG13753_genomic.fna,86.95,2.84,1585207,8409
GCA_902793085.1_Rumen_uncultured_genome_RUG13834_genomic.fna,92.67,3.35,1825840,15823
GCA_902793625.1_Rumen_uncultured_genome_RUG13882_genomic.fna,100.0,0.0,2094896,45838
GCA_902793835.1_Rumen_uncultured_genome_RUG13910_genomic.fna,93.71,0.71,1743089,87078
GCA_902793875.1_Rumen_uncultured_genome_RUG13917_genomic.fna,86.74,2.13,2089864,10172
GCA_902794515.1_Rumen_uncultured_genome_RUG13979_genomic.fna,88.42,1.76,1984035,13704
GCA_902795055.1_Rumen_uncultured_genome_RUG14040_genomic.fna,91.3,7.94,1767776,14428
GCA_902795105.1_Rumen_uncultured_genome_RUG14034_genomic.fna,98.58,0.24,1821360,58454
GCA_902795135.1_Rumen_uncultured_genome_RUG14038_genomic.fna,89.76,0.71,2076014,92619
GCA_902795265.1_Rumen_uncultured_genome_RUG14057_genomic.fna,90.8,1.6,1950639,49603
GCA_902796875.1_Rumen_uncultured_genome_RUG14218_genomic.fna,83.0,0.0,1384672,6206
GCA_902796965.1_Rumen_uncultured_genome_RUG14226_genomic.fna,92.2,0.71,1897256,45002
GCA_902797095.1_Rumen_uncultured_genome_RUG14238_genomic.fna,84.52,1.06,1621773,5329
GCA_902797195.1_Rumen_uncultured_genome_RUG14246_genomic.fna,81.21,0.71,1547073,5890
GCA_902797345.1_Rumen_uncultured_genome_RUG14258_genomic.fna,83.36,0.71,1309099,7355
GCA_902797405.1_Rumen_uncultured_genome_RUG14262_genomic.fna,83.06,2.65,1701656,7787
GCA_902798745.1_Rumen_uncultured_genome_RUG14393_genomic.fna,93.62,0.78,1972268,103986
GCA_902798795.1_Rumen_uncultured_genome_RUG14405_genomic.fna,92.45,4.31,2027094,11098
GCA_902801255.1_Rumen_uncultured_genome_RUG14658_genomic.fna,93.92,5.32,2235335,52706
GCA_902803185.1_Rumen_uncultured_genome_RUG14842_genomic.fna,89.36,1.48,1734003,7072
GCA_902803725.1_Rumen_uncultured_genome_RUG14908_genomic.fna,80.65,3.43,1360203,6304
GCA_902804075.1_Rumen_uncultured_genome_RUG14933_genomic.fna,92.91,4.26,2302892,13131
GCA_903789635.1_UMB00019_genomic.fna,99.65,0.0,2635323,60807
GCA_904396505.1_Coassembly_mag_359_genomic.fna,94.86,0.71,2040169,21314
GCA_904397575.1_Coassembly_mag_47_genomic.fna,96.1,1.42,2175104,12544
GCA_904398315.1_Coassembly_mag_499_genomic.fna,97.16,1.65,2245604,18131
GCA_904418885.1_Chicken_1_mag_130_genomic.fna,97.87,0.0,1943700,40387
GCA_904420065.1_Coassembly_mag_253_genomic.fna,99.29,0.0,2412630,67328
GCA_904420135.1_Coassembly_mag_310_genomic.fna,98.58,0.0,1956572,41921
GCA_904420165.1_Coassembly_mag_34_genomic.fna,85.07,2.48,1560072,6922
GCA_905193055.1_ERR1430568-mag-bin.31_genomic.fna,97.52,0.71,2548041,32968
GCA_905193495.1_ERR1190753-mag-bin.1_genomic.fna,72.41,0.0,1263028,70081
GCA_905193765.1_ERR260134-mag-bin.27_genomic.fna,92.33,1.42,2422663,13015
GCA_905193835.1_ERR321620-mag-bin.30_genomic.fna,95.74,0.0,2133953,29025
GCA_905196335.1_SRR413760-mag-bin.20_genomic.fna,99.29,0.95,2415476,71695
GCA_905196925.1_ERR1600554-mag-bin.53_genomic.fna,96.45,1.42,2117189,20654
GCA_905197025.1_ERR321615-mag-bin.27_genomic.fna,82.28,1.44,1897484,8256
GCA_905197305.1_ERR414468-mag-bin.30_genomic.fna,94.33,0.0,1579211,48643
GCA_905198975.1_ERR414356-mag-bin.10_genomic.fna,98.58,0.0,2154239,108955
GCA_905199085.1_SRR1778451-mag-bin.32_genomic.fna,98.56,0.71,4119861,40167
GCA_905201445.1_ERR321557-mag-bin.4_genomic.fna,97.87,0.0,2126499,67768
GCA_905202695.1_ERR1600538-mag-bin.22_genomic.fna,90.65,3.78,1862342,5773
GCA_905204695.1_SRR413748-mag-bin.28_genomic.fna,89.54,1.44,1655555,11575
GCA_905204855.1_SRR413756-mag-bin.15_genomic.fna,90.83,0.21,1889704,6918
GCA_905206455.1_ERR1600730-mag-bin.21_genomic.fna,96.81,0.0,2167631,19982
GCA_905207105.1_ERR260135-mag-bin.6_genomic.fna,99.29,0.0,2407752,145281
GCA_905207805.1_ERR414317-mag-bin.2_genomic.fna,76.67,1.29,2075743,6949
GCA_905208805.1_ERR1600558-mag-bin.1_genomic.fna,99.29,0.0,1761446,36482
GCA_905209145.1_ERR1600645-mag-bin.74_genomic.fna,97.12,0.0,2005631,46220
GCA_905209285.1_ERR1600689-mag-bin.54_genomic.fna,97.87,0.71,2353371,35607
GCA_905210585.1_ERR321631-mag-bin.36_genomic.fna,97.87,0.0,2266797,62215
GCA_905211585.1_ERR414468-mag-bin.50_genomic.fna,92.91,1.42,1639332,36548
GCA_905213205.1_ERR414465-mag-bin.25_genomic.fna,91.73,2.32,2401340,23288
GCA_905214195.1_ERR1600584-mag-bin.9_genomic.fna,97.87,0.24,1836136,42051
GCA_905214225.1_ERR1430500-mag-bin.30_genomic.fna,99.29,0.0,2243049,52309
GCA_905214935.1_ERR1430474-mag-bin.3_genomic.fna,99.29,0.71,2297538,61848
GCA_905235115.1_RUG30220_genomic.fna,94.33,0.0,1965790,43899
GCA_905236895.1_RUG30373_genomic.fna,88.96,0.12,1372373,9083
GCA_905365325.1_ERZ1645004-mag-bin.3_genomic.fna,79.67,0.95,1179964,8107
GCA_905372015.1_SRR9217393-mag-bin.6_genomic.fna,98.94,0.71,1840341,28378
GCA_905372035.1_SRR9217393-mag-bin.11_genomic.fna,95.04,1.06,1569894,21207
GCA_905372295.1_SRR9217404-mag-bin.16_genomic.fna,56.94,0.71,577738,5651
GCA_905373685.1_SRR9217487-mag-bin.2_genomic.fna,56.36,0.47,903508,5241
GCA_905373725.1_SRR9217489-mag-bin.1_genomic.fna,95.74,0.71,1481714,28959
GCA_905373865.1_SRR9217490-mag-bin.8_genomic.fna,98.58,0.0,1564676,96975
GCA_910573795.1_MGBC000079_genomic.fna,98.94,0.14,3156384,103514
GCA_910573825.1_MGBC000042_genomic.fna,98.94,0.14,3152576,122294
GCA_910574645.1_MGBC000070_genomic.fna,98.94,0.14,3149659,105659
GCA_910575405.1_MGBC000178_genomic.fna,97.87,0.71,4184383,89806
GCA_910576025.1_MGBC000227_genomic.fna,97.16,0.0,3820017,302536
GCA_910583765.1_MGBC119074_genomic.fna,96.74,0.0,4055932,73441
GCA_910585135.1_MGBC123563_genomic.fna,92.04,1.02,2280325,11299
GCA_910588185.1_MGBC162508_genomic.fna,100.0,0.71,1976393,214376
GCA_916049675.1_ERR2764804_bin.3_metaWRAP_v1.1_MAG_genomic.fna,54.14,0.71,1028089,18183
GCA_916049945.1_ERR2764806_bin.2_metaWRAP_v1.1_MAG_genomic.fna,71.63,2.36,1111088,8246
GCA_916438645.1_DRR214959_bin.47_metaWRAP_v1.1_MAG_genomic.fna,95.72,0.0,1665220,1417331
GCA_916438705.1_DRR214961_bin.32_metaWRAP_v1.1_MAG_genomic.fna,92.39,0.71,1735523,1735523
GCA_916438865.1_DRR214960_bin.23_metaWRAP_v1.1_MAG_genomic.fna,86.32,4.26,2528130,767177
GCA_916438985.1_DRR214961_bin.18_metaWRAP_v1.1_MAG_genomic.fna,85.4,0.0,1538677,1538677
GCA_916439235.1_DRR214960_bin.7_metaWRAP_v1.1_MAG_genomic.fna,90.66,0.0,1808795,1808795
GCA_916439345.1_DRR214959_bin.36_metaWRAP_v1.1_MAG_genomic.fna,79.19,0.0,1669213,1206461
GCA_916720415.1_SRR15235662_bin.10_metaWRAP_v1.1_MAG_genomic.fna,94.44,1.06,1634611,18285
GCA_927441425.1_OKU13_genomic.fna,98.89,0.71,3575300,117471
GCA_927797855.1_ERR2244943_bin.14_metaWRAP_v1.1_MAG_genomic.fna,93.79,0.35,1516944,13641
GCA_930980605.1_ERR3414580_bin.119_metaWRAP_v1.1_MAG_genomic.fna,92.91,1.44,2109986,17965
GCA_930989915.1_ERR3414584_bin.69_metaWRAP_v1.1_MAG_genomic.fna,71.0,0.0,1499976,5838
GCA_930990445.1_ERR3414573_bin.35_metaWRAP_v1.1_MAG_genomic.fna,84.73,0.24,2036596,10091
GCA_930990685.1_ERR3414571_bin.40_metaWRAP_v1.1_MAG_genomic.fna,98.58,0.0,1944656,64333
GCA_934229885.1_ERR7746411_bin.445_genomic.fna,89.74,1.77,1978708,16942
GCA_934233735.1_ERR7746061_bin.223_genomic.fna,98.23,0.71,2394583,86254
GCA_934234035.1_ERR7746048_bin.146_genomic.fna,99.29,0.0,1959837,64526
GCA_934246525.1_ERR7738657_bin.323_genomic.fna,97.87,0.0,1866353,40769
GCA_934246645.1_ERR7738937_bin.31_genomic.fna,61.26,0.0,1256880,5293
GCA_934246725.1_ERR7745346_bin.158_genomic.fna,93.62,0.0,2730278,61458
GCA_934246785.1_ERR7745755_bin.158_genomic.fna,56.61,0.35,1061397,5898
GCA_934246885.1_ERR7738582_bin.117_genomic.fna,93.26,0.18,1963198,52016
GCA_934246895.1_ERR7738237_bin.65_genomic.fna,97.87,0.0,1882314,55238
GCA_934246915.1_ERR7738173_bin.56_genomic.fna,98.23,0.71,2239160,70165
GCA_934247095.1_ERR7738620_bin.84_genomic.fna,92.55,0.0,2071795,112566
GCA_934247125.1_ERR7745924_bin.64_genomic.fna,88.16,1.77,2031591,20052
GCA_934247485.1_ERR7738187_bin.55_genomic.fna,99.29,0.0,2111787,55382
GCA_934255005.1_ERR7738272_bin.4_genomic.fna,88.3,0.0,2228291,14578
GCA_934255055.1_ERR7745594_bin.62_genomic.fna,85.86,0.18,2335949,8034
GCA_934255135.1_ERR7746285_bin.106_genomic.fna,98.58,0.95,1720511,142175
GCA_934255205.1_ERR7746349_bin.374_genomic.fna,90.07,0.0,2347266,26061
GCA_934255375.1_ERR7738561_bin.41_genomic.fna,98.58,1.42,2380478,86745
GCA_934255415.1_ERR7745994_bin.329_genomic.fna,98.23,0.0,2034287,137167
GCA_934255425.1_ERR7746285_bin.189_genomic.fna,87.74,0.0,2323151,27771
GCA_934255435.1_ERR7738598_bin.422_genomic.fna,84.83,2.13,2070297,13538
GCA_934255445.1_ERR7745648_bin.228_genomic.fna,95.04,0.0,2495454,40967
GCA_934255545.1_ERR7745975_bin.231_genomic.fna,98.58,0.0,2370870,51786
GCA_934256585.1_ERR7745854_bin.288_genomic.fna,99.29,0.0,2065065,44684
GCA_934256595.1_ERR7745429_bin.92_genomic.fna,93.97,0.0,2308044,35685
GCA_934256605.1_ERR7745594_bin.152_genomic.fna,86.18,0.78,2438612,13147
GCA_934256625.1_ERR7738665_bin.241_genomic.fna,92.2,0.0,2208290,18911
GCA_934256655.1_ERR7745594_bin.119_genomic.fna,97.52,0.0,2202598,133697
GCA_934271205.1_ERR7738665_bin.57_genomic.fna,88.65,0.0,2115404,75667
GCA_934271235.1_ERR7738552_bin.355_genomic.fna,89.36,1.42,2563756,100102
GCA_934276925.1_ERR7738529_bin.107_genomic.fna,99.29,0.0,1910873,80495
GCA_934277405.1_ERR7746411_bin.322_genomic.fna,73.18,3.97,2174742,6612
GCA_934277495.1_ERR7745975_bin.356_genomic.fna,86.53,3.43,2224547,17140
GCA_934277525.1_ERR7738582_bin.4_genomic.fna,88.23,0.0,1939204,12449
GCA_934277555.1_ERR7745890_bin.73_genomic.fna,78.53,3.59,2623353,6490
GCA_934277655.1_ERR7745760_bin.144_genomic.fna,83.67,1.3,2229096,7397
GCA_934277685.1_ERR7738238_bin.41_genomic.fna,90.07,0.0,1772904,64742
GCA_934277695.1_ERR7745854_bin.117_genomic.fna,98.94,0.0,2118267,249109
GCA_934278925.1_ERR7746061_bin.374_genomic.fna,99.29,0.0,2145059,65543
GCA_934278965.1_ERR7803603_bin.345_genomic.fna,80.33,2.01,1300200,6305
GCA_934281585.1_ERR7738624_bin.118_genomic.fna,89.73,0.71,1523884,14222
GCA_934281605.1_ERR7746048_bin.272_genomic.fna,97.52,0.0,2215015,204735
GCA_934281615.1_ERR7739005_bin.154_genomic.fna,79.3,1.24,1468911,6000
GCA_934281645.1_ERR7745594_bin.92_genomic.fna,57.45,0.0,1357343,56024
GCA_934281655.1_ERR7738250_bin.30_genomic.fna,99.29,0.0,1882202,39734
GCA_934292945.1_ERR7745975_bin.78_genomic.fna,97.52,0.0,2140451,175027
GCA_934876165.1_MTG243_bin.19.fa_genomic.fna,96.81,0.71,2444254,55818
GCA_944382915.1_E0_FAY_bin175_genomic.fna,97.87,0.18,2355073,32237
GCA_944382925.1_E40_bin253_genomic.fna,90.96,2.13,1707398,16268
GCA_944383465.1_E07_bin309_genomic.fna,97.87,0.0,1721812,57234
GCA_944386095.1_E08_bin5_genomic.fna,97.16,1.6,1702526,18857
GCA_944386585.1_E03_bin131_genomic.fna,91.05,0.0,1550745,13815
GCA_944386595.1_E27_bin20_genomic.fna,100.0,0.35,1855328,38328
GCA_944386615.1_E01_bin299_genomic.fna,93.62,0.24,1868452,17729
GCA_944388455.1_E13_bin209_genomic.fna,85.2,0.04,2147258,11010
GCA_944388465.1_E08_bin178_genomic.fna,93.33,3.98,2104130,11879
GCA_944388485.1_E08_bin156_genomic.fna,87.23,0.71,1822917,13676
GCA_944388495.1_E20_bin286_genomic.fna,95.39,1.42,2062954,18884
GCA_944388505.1_BRZ_MM_bin84_genomic.fna,98.58,0.0,1519295,80420
GCA_944388515.1_E02_bin73_genomic.fna,86.51,2.27,1452416,9435
GCA_944388525.1_E0_RM_bin16_genomic.fna,95.74,0.0,2105500,29101
GCA_945229175.1_SRR13040388_bin.11_metaWRAP_v1.3_MAG_genomic.fna,58.34,1.06,1034095,5119
GCA_945486155.1_SRR7188233_bin.23_metaWRAP_v1.3_MAG_genomic.fna,83.79,0.59,1355038,10119
GCA_945615945.1_SRR14474043_bin.11_metaWRAP_v1.3_MAG_genomic.fna,82.39,0.0,1318531,12184
GCA_945644815.1_SRR14474045_bin.36_metaWRAP_v1.3_MAG_genomic.fna,91.58,0.38,1468369,16252
