Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation	Oral_site	Industry	BinID	out_type
NODE_2_length_109647_cov_14.2245	NODE_2_length_109647_cov_14.2245@4	89497	91413	False	0%		III-A	1	['AbiEii_0_CAS-III']	[88]	['1.50e-09']	[0.438]	[0.824]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_26_length_28335_cov_11.6087	NODE_26_length_28335_cov_11.6087@1	15947	16813	False	0%		III-A	1	['Mem_DnaJ_0_CAS-III-AM']	[20]	['6.10e-04']	[0.339]	[0.335]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_5_length_88438_cov_13.206	NODE_5_length_88438_cov_13.206@2	29537	30307	False	0%		III-A	1	['AbiEii_0_CAS-III']	[28]	['1.70e-08']	[0.521]	[0.454]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_11_length_53421_cov_10.2544	NODE_11_length_53421_cov_10.2544@1	17293	18018	False	0%		III-A	1	['AbiEii_0_CAS-III']	[19]	['1.10e-04']	[0.475]	[0.394]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_14_length_40240_cov_9.53368	NODE_14_length_40240_cov_9.53368@2	18149	18952	False	0%		III-A	1	['AbiEii_0_CAS-III']	[17]	['2.10e-04']	[0.41]	[0.363]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_1_length_121584_cov_11.888	NODE_1_length_121584_cov_11.888@1	35308	35916	False	0%	0%	I-B	4	['Cas11b_0_CAS-I-B']	[39]	['1.40e-03']	[0.512]	[0.547]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_6_length_81468_cov_13.5582	NODE_6_length_81468_cov_13.5582@1	41919	48091	False	14%	0%	I-A	1	['Cas3_0_CAS-I', 'Cas3_0_I']	[63, 67]	['4.30e-07', '8.20e-13']	[0.326, 0.713]	[0.589, 0.894]	0		buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_40_length_16446_cov_8.41608	NODE_40_length_16446_cov_8.41608@1	108	2616	False	0%		III-A	1	['RT_0_CAS-I-II-III-IV-V-VI', 'AbiEii_0_CAS-III']	[1, 2]	['1.90e-25', '3.60e-09']	[0.622, 0.333]	[0.925, 0.585]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_5_length_88438_cov_13.206	NODE_5_length_88438_cov_13.206@3	39800	40381	False	25%		V-K	1	['TnsC_0_V-K']	[38]	['1.80e-03']	[0.485]	[0.332]	-1		buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_5_length_88438_cov_13.206	NODE_5_length_88438_cov_13.206@1	12695	13147	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[11]	['2.40e-04']	[0.616]	[0.445]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_22_length_30716_cov_11.2545	NODE_22_length_30716_cov_11.2545@1	3657	4394	False	0%		III-A	1	['AbiEii_0_CAS-III']	[6]	['2.80e-11']	[0.492]	[0.43]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_3_length_105124_cov_10.4953	NODE_3_length_105124_cov_10.4953@3	62478	63533	False	0%	33%	II-A	3	['Csn2_7_CAS-II-A']	[54]	['4.80e-03']	[0.395]	[0.376]		-1	buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_15_length_38530_cov_11.3425	NODE_15_length_38530_cov_11.3425@1	11084	12376	False	0%		IV-B	3	['CysH_0_IVB']	[14]	['3.90e-04']	[0.383]	[0.635]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_10_length_58858_cov_10.8517	NODE_10_length_58858_cov_10.8517@2	37529	37882	False	0%	0%	I-A	0	['CasR_0_CAS-I-II-III-IV-V-VI']	[36]	['5.80e-04']	[0.602]	[0.333]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_2_length_109647_cov_14.2245	NODE_2_length_109647_cov_14.2245@3	76680	77309	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[76]	['2.60e-04']	[0.395]	[0.39]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_14_length_40240_cov_9.53368	NODE_14_length_40240_cov_9.53368@1	11040	11318	False	0%	33%	I-A	2	['Cas4_5_CAS-I-II-III-IV-V-VI']	[10]	['2.50e-03']	[0.699]	[0.416]		1	buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_564_length_2547_cov_10.8451	NODE_564_length_2547_cov_10.8451@1	2297	2545	False	0%	33%	I-A	2	['Cas2_2_CAS-I-II-III-IV-V-VI']	[3]	['1.70e-22']	[0.819]	[0.861]		-1	buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_29_length_23309_cov_10.0256	NODE_29_length_23309_cov_10.0256@1	17940	18419	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[22]	['2.90e-06']	[0.544]	[0.404]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_40_length_16446_cov_8.41608	NODE_40_length_16446_cov_8.41608@2	7065	11531	False	0%		IV-B	3	['CysH_0_IVB', 'DEDDh_0_CAS-I-II-III-IV-V-VI']	[9, 12]	['1.30e-05', '8.00e-17']	[0.406, 0.382]	[0.494, 0.981]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_33_length_19323_cov_9.59752	NODE_33_length_19323_cov_9.59752@1	2867	3985	False	0%		III-A	1	['AbiEii_0_CAS-III']	[4]	['3.40e-06']	[0.397]	[0.511]			buccal_mucosa	industrial	HMP_2012__SRS014575__bin.2	putative
NODE_861_length_3710_cov_2.59945	NODE_861_length_3710_cov_2.59945@1	1098	1466	False	17%		III-C	4	['Cmr5_1_IIIC']	[2]	['1.90e-04']	[0.764]	[0.522]	1		buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_1266_length_3031_cov_3.11929	NODE_1266_length_3031_cov_3.11929@1	770	1831	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['2.50e-09']	[0.828]	[0.835]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_1756_length_2476_cov_2.82569	NODE_1756_length_2476_cov_2.82569@1	1849	2475	False	0%	0%	I-A	0	['WYL_3_CAS-I-II-III-IV-V-VI']	[4]	['4.20e-30']	[0.866]	[0.983]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_635_length_4298_cov_2.69597	NODE_635_length_4298_cov_2.69597@1	3643	4074	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[8]	['1.40e-03']	[0.535]	[0.619]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_1344_length_2921_cov_2.27285	NODE_1344_length_2921_cov_2.27285@1	1090	1434	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[2]	['1.40e-03']	[0.652]	[0.339]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_2441_length_2044_cov_2.30367	NODE_2441_length_2044_cov_2.30367@1	1	1685	False	14%	0%	I-A	2	['Csm6_7_CAS-III', 'Cas6_15_CAS-I-II-III-IV-V-VI']	[1, 2]	['1.40e-36', '4.10e-16']	[0.753, 0.429]	[0.584, 1.0]	-1		buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_1026_length_3359_cov_2.83717	NODE_1026_length_3359_cov_2.83717@1	622	1113	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[1]	['2.20e-32']	[0.933]	[0.981]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_261_length_6912_cov_3.00321	NODE_261_length_6912_cov_3.00321@1	3281	3748	False	0%	0%	I-A	0	['CasR_0_CAS-I-II-III-IV-V-VI']	[6]	['4.90e-04']	[0.417]	[0.328]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_961_length_3499_cov_2.96167	NODE_961_length_3499_cov_2.96167@1	2084	2962	False	17%	0%	I-E	4	['Cse2gr11_1_CAS-I-E']	[4]	['7.80e-04']	[0.307]	[0.538]	1		buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_3934_length_1513_cov_3.81962	NODE_3934_length_1513_cov_3.81962@1	1	1482	False	0%	33%	II-A	3	['Csn2_7_CAS-II-A']	[1]	['1.30e-05']	[0.336]	[0.401]		1	buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_3635_length_1595_cov_2.24026	NODE_3635_length_1595_cov_2.24026@1	146	1459	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[2]	['2.30e-12']	[0.555]	[0.697]	1		buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_3017_length_1797_cov_2.68772	NODE_3017_length_1797_cov_2.68772@1	1130	1528	False	17%		III-C	2	['Cmr5_0_IIIC']	[3]	['2.20e-03']	[0.474]	[0.465]	1		buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_885_length_3657_cov_3.01222	NODE_885_length_3657_cov_3.01222@1	1931	3655	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[2]	['2.50e-08']	[0.332]	[0.541]	1		buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_2807_length_1871_cov_2.99945	NODE_2807_length_1871_cov_2.99945@1	1006	1716	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['3.80e-04']	[0.527]	[0.43]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_105_length_10293_cov_2.97509	NODE_105_length_10293_cov_2.97509@1	117	1037	False	0%	0%	I-A	0	['WYL_3_CAS-I-II-III-IV-V-VI']	[1]	['3.30e-16']	[0.554]	[0.988]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_1114_length_3208_cov_2.8706	NODE_1114_length_3208_cov_2.8706@1	227	3208	Ambiguous	['100%', '100%']	['0%', '0%']	['II-A', 'II-C']	2	['Cas9_0_II']	[2]	['3.70e-59']	[0.916]	[0.863]	1		buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_3051_length_1783_cov_2.28762	NODE_3051_length_1783_cov_2.28762@1	321	845	False	14%	0%	I-A	4	['Csa5gr11_9_CAS-I-A']	[2]	['4.80e-03']	[0.394]	[0.452]	-1		buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_1249_length_3045_cov_2.74415	NODE_1249_length_3045_cov_2.74415@1	2448	2939	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[4]	['7.60e-30']	[0.933]	[0.981]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.1	putative
NODE_1392_length_2849_cov_3.29993	NODE_1392_length_2849_cov_3.29993@1	2463	2849	False	25%		V-K	1	['TnsC_0_V-K']	[5]	['3.10e-04']	[0.729]	[0.332]	1		buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_2073_length_2248_cov_4.07661	NODE_2073_length_2248_cov_4.07661@1	1420	2247	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[3]	['2.00e-17']	[0.656]	[0.981]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_1163_length_3156_cov_3.85456	NODE_1163_length_3156_cov_3.85456@1	1712	2608	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['3.60e-04']	[0.391]	[0.387]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_1900_length_2372_cov_3.24126	NODE_1900_length_2372_cov_3.24126@1	112	2034	False	20%		IV-A1	2	['Csf4_0_IVA']	[1]	['1.50e-58']	[0.913]	[0.902]	1		buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_2294_length_2119_cov_4.29845	NODE_2294_length_2119_cov_4.29845@1	1089	2117	False	0%	33%	V-A	1	['Cas1_0_V']	[3]	['9.10e-05']	[0.466]	[0.476]		1	buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_2919_length_1831_cov_2.38851	NODE_2919_length_1831_cov_2.38851@1	1150	1830	False	0%		IV-B	3	['CysH_0_IVB']	[2]	['2.70e-17']	[0.819]	[0.731]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_1749_length_2481_cov_3.60016	NODE_1749_length_2481_cov_3.60016@1	1214	2080	False	0%		III-A	1	['Mem_DnaJ_0_CAS-III-AM']	[3]	['4.40e-04']	[0.339]	[0.335]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_592_length_4444_cov_4.37685	NODE_592_length_4444_cov_4.37685@1	956	1840	False	25%		IV-A2	2.1	['Csf2_0_IV']	[2]	['1.80e-03']	[0.458]	[0.368]	1		buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_2654_length_1934_cov_4.19798	NODE_2654_length_1934_cov_4.19798@1	1343	1933	False	0%		III-B	1	['htpX_0_CAS-III-B']	[2]	['3.10e-25']	[0.827]	[0.504]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_1612_length_2628_cov_4.81733	NODE_1612_length_2628_cov_4.81733@1	1386	2627	False	20%	0%	I-D	4	['Cas3_1_CAS-I-D']	[4]	['3.00e-04']	[0.316]	[0.368]	1		buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_1481_length_2752_cov_3.48053	NODE_1481_length_2752_cov_3.48053@1	39	800	False	0%		III-A	1	['AbiEii_0_CAS-III']	[1]	['3.70e-07']	[0.417]	[0.387]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_1994_length_2305_cov_4.73378	NODE_1994_length_2305_cov_4.73378@1	1289	1960	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['3.10e-05']	[0.589]	[0.44]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_1834_length_2422_cov_4.94254	NODE_1834_length_2422_cov_4.94254@1	854	1618	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['2.80e-09']	[0.506]	[0.458]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_815_length_3826_cov_4.52586	NODE_815_length_3826_cov_4.52586@1	877	1425	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[3]	['3.20e-13']	[0.847]	[0.944]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_1505_length_2731_cov_3.10463	NODE_1505_length_2731_cov_3.10463@1	1260	2258	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['3.20e-03']	[0.462]	[0.518]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_19_length_17979_cov_4.3126	NODE_19_length_17979_cov_4.3126@1	17667	17978	False	0%		IV-B	3	['CysH_0_IVB']	[28]	['3.30e-06']	[0.875]	[0.345]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_2279_length_2128_cov_3.36903	NODE_2279_length_2128_cov_3.36903@1	388	867	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[2]	['2.00e-06']	[0.544]	[0.404]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_2740_length_1898_cov_5.09767	NODE_2740_length_1898_cov_5.09767@1	1101	1838	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['9.90e-12']	[0.496]	[0.433]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_2191_length_2179_cov_4.44915	NODE_2191_length_2179_cov_4.44915@1	1515	2144	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[2]	['1.50e-04']	[0.395]	[0.39]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_724_length_4006_cov_4.34725	NODE_724_length_4006_cov_4.34725@1	1990	3318	False	14%	0%	I-A	1	['Cas3_0_I']	[4]	['8.70e-13']	[0.713]	[0.894]	-1		buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_366_length_5812_cov_4.43616	NODE_366_length_5812_cov_4.43616@1	877	1485	False	0%	0%	I-B	4	['Cas11b_0_CAS-I-B']	[2]	['9.80e-04']	[0.512]	[0.547]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_1375_length_2872_cov_3.7721	NODE_1375_length_2872_cov_3.7721@1	612	1727	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['2.30e-06']	[0.398]	[0.511]			buccal_mucosa	industrial	HMP_2012__SRS014686__bin.7	putative
NODE_63_length_20027_cov_98.8095	NODE_63_length_20027_cov_98.8095@1	13164	13604	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[12]	['5.90e-08']	[0.49]	[0.551]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_443_length_6443_cov_59.74	NODE_443_length_6443_cov_59.74@1	1899	2585	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['5.20e-06']	[0.507]	[0.405]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_371_length_7284_cov_92.1865	NODE_371_length_7284_cov_92.1865@1	1164	1988	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['2.20e-05']	[0.335]	[0.313]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_1033_length_3631_cov_73.3199	NODE_1033_length_3631_cov_73.3199@1	2829	3530	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['2.00e-07']	[0.577]	[0.454]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_412_length_6775_cov_72.1217	NODE_412_length_6775_cov_72.1217@1	130	888	False	0%		III-A	1	['AbiEii_0_CAS-III']	[1]	['7.50e-08']	[0.561]	[0.5]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_268_length_9263_cov_65.3476	NODE_268_length_9263_cov_65.3476@1	4361	5104	False	0%		III-A	1	['AbiEii_0_CAS-III']	[8]	['4.20e-05']	[0.468]	[0.394]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_82_length_17911_cov_68.6339	NODE_82_length_17911_cov_68.6339@1	6844	7578	False	0%		III-A	1	['AbiEii_0_CAS-III']	[8]	['3.40e-09']	[0.543]	[0.437]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_342_length_7903_cov_93.9238	NODE_342_length_7903_cov_93.9238@1	7159	7902	False	0%		III-B	1	['CasR_0_CAS-III-B-III-D']	[9]	['3.60e-03']	[0.476]	[0.349]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_535_length_5701_cov_89.9848	NODE_535_length_5701_cov_89.9848@1	4187	5485	False	14%	0%	I-A	1	['Cas3_0_I']	[5]	['2.80e-07']	[0.573]	[0.863]	1		buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_514_length_5871_cov_109.636	NODE_514_length_5871_cov_109.636@1	79	1146	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['9.20e-05']	[0.388]	[0.387]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_660_length_5089_cov_73.2402	NODE_660_length_5089_cov_73.2402@1	1907	3484	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[3]	['7.30e-08']	[0.441]	[0.66]	-1		buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_2257_length_2069_cov_83.0199	NODE_2257_length_2069_cov_83.0199@1	1295	2035	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['1.40e-05']	[0.583]	[0.493]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_626_length_5223_cov_71.0664	NODE_626_length_5223_cov_71.0664@1	2177	2935	False	0%		III-A	1	['AbiEii_0_CAS-III']	[4]	['4.10e-09']	[0.435]	[0.387]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_192_length_11306_cov_61.428	NODE_192_length_11306_cov_61.428@1	1115	2401	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI', 'DEDDh_0_CAS-I-II-III-IV-V-VI']	[3, 4]	['2.90e-03', '6.70e-23']	[0.61, 0.787]	[0.602, 0.994]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_90_length_17358_cov_75.3705	NODE_90_length_17358_cov_75.3705@1	7958	9829	False	0%		III-A	1	['AbiEii_0_CAS-III']	[10]	['1.20e-03']	[0.378]	[0.511]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_1200_length_3287_cov_88.3929	NODE_1200_length_3287_cov_88.3929@1	1782	3256	False	0%		III-A	1	['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III']	[3, 4]	['1.10e-09', '2.30e-05']	[0.537, 0.405]	[0.465, 0.327]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_364_length_7416_cov_83.3619	NODE_364_length_7416_cov_83.3619@1	3017	3451	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[5]	['5.80e-04']	[0.531]	[0.335]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_613_length_5285_cov_97.9099	NODE_613_length_5285_cov_97.9099@1	763	1824	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['3.70e-07']	[0.427]	[0.496]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_140_length_13479_cov_70.4877	NODE_140_length_13479_cov_70.4877@1	2074	3417	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[3]	['1.90e-14']	[0.654]	[0.881]	1		buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_97_length_16657_cov_68.2825	NODE_97_length_16657_cov_68.2825@1	230	1534	False	14%	0%	I-A	2	['Cas6_0_CAS-I-II-III-IV-V-VI']	[2]	['9.90e-04']	[0.372]	[0.536]	-1		buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_955_length_3889_cov_77.7653	NODE_955_length_3889_cov_77.7653@1	2073	2831	False	0%		III-A	1	['AbiEii_0_CAS-III']	[4]	['4.90e-08']	[0.486]	[0.415]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_3199_length_1588_cov_67.8428	NODE_3199_length_1588_cov_67.8428@1	2	682	False	0%		III-A	1	['AbiEii_0_CAS-III']	[1]	['1.60e-05']	[0.533]	[0.419]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_770_length_4487_cov_56.1101	NODE_770_length_4487_cov_56.1101@1	1408	2166	False	0%		III-A	1	['AbiEii_0_CAS-III']	[4]	['1.60e-04']	[0.451]	[0.391]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_1709_length_2487_cov_76.0888	NODE_1709_length_2487_cov_76.0888@1	1027	1452	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[2]	['2.90e-06']	[0.746]	[0.814]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_37_length_22793_cov_73.5306	NODE_37_length_22793_cov_73.5306@1	12774	13169	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[12]	['3.30e-03']	[0.568]	[0.33]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_225_length_10399_cov_78.7202	NODE_225_length_10399_cov_78.7202@1	2633	3436	False	0%		III-A	1	['AbiEii_0_CAS-III']	[4]	['2.00e-05']	[0.373]	[0.359]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_273_length_9187_cov_69.9617	NODE_273_length_9187_cov_69.9617@1	2	793	False	0%		III-A	1	['AbiEii_0_CAS-III']	[1]	['1.30e-05']	[0.386]	[0.331]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_2267_length_2063_cov_27.9776	NODE_2267_length_2063_cov_27.9776@1	3	491	False	14%	0%	I-A	1	['Cas3_1_I']	[1]	['3.00e-04']	[0.411]	[0.41]	1		buccal_mucosa	industrial	HMP_2012__SRS015040__bin.5	putative
NODE_105_length_15939_cov_21.4844	NODE_105_length_15939_cov_21.4844@1	1790	3250	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[2]	['1.70e-09']	[0.509]	[0.632]	-1		buccal_mucosa	industrial	HMP_2012__SRS015040__bin.7	putative
NODE_156_length_12821_cov_19.1076	NODE_156_length_12821_cov_19.1076@1	11024	11761	False	0%		III-A	1	['AbiEii_0_CAS-III']	[11]	['8.70e-07']	[0.549]	[0.451]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.7	putative
NODE_163_length_12496_cov_31.4811	NODE_163_length_12496_cov_31.4811@1	11362	12114	False	0%		III-A	1	['AbiEii_0_CAS-III']	[8]	['3.80e-05']	[0.498]	[0.43]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.7	putative
NODE_551_length_5618_cov_20.902	NODE_551_length_5618_cov_20.902@1	1598	5618	False	0%		III-A	2	['AbiEii_0_CAS-III', 'RT_0_CAS-III-AM-III-B', 'RT_0_CAS-I-II-III-IV-V-VI']	[4, 7, 8]	['1.60e-05', '2.40e-80', '5.50e-05']	[0.568, 0.923, 0.362]	[0.472, 0.802, 0.31]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.7	putative
NODE_100_length_16392_cov_21.4951	NODE_100_length_16392_cov_21.4951@1	72	3799	False	0%		III-A	1	['CasR_0_CAS-I-II-III-IV-V-VI', 'AbiEii_0_CAS-III']	[1, 3]	['3.70e-06', '5.40e-07']	[0.347, 0.364]	[0.631, 0.405]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.7	putative
NODE_137_length_13673_cov_24.5604	NODE_137_length_13673_cov_24.5604@1	10617	11318	False	0%		III-A	1	['AbiEii_0_CAS-III']	[11]	['7.30e-06']	[0.556]	[0.44]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.7	putative
NODE_94_length_17118_cov_20.3556	NODE_94_length_17118_cov_20.3556@1	2035	2850	False	0%		III-A	1	['AbiEii_0_CAS-III']	[4]	['7.70e-08']	[0.36]	[0.335]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.7	putative
NODE_725_length_4670_cov_35.1781	NODE_725_length_4670_cov_35.1781@1	622	1938	False	0%		IV-B	3	['CysH_0_IVB']	[2]	['3.60e-04']	[0.385]	[0.627]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.7	putative
NODE_23_length_25296_cov_21.1552	NODE_23_length_25296_cov_21.1552@1	319	1062	False	0%		III-A	1	['AbiEii_0_CAS-III']	[1]	['2.50e-04']	[0.577]	[0.5]			buccal_mucosa	industrial	HMP_2012__SRS015040__bin.7	putative
NODE_710_length_4738_cov_20.1612	NODE_710_length_4738_cov_20.1612@1	3696	4736	False	20%	0%	I-B	4	['Csa3_1_CAS-I-II-III-IV-V-VI', 'Cas5_8_CAS-I-B']	[3, 4]	['3.20e-03', '3.80e-03']	[0.359, 0.569]	[0.432, 0.472]	-1		buccal_mucosa	industrial	HMP_2012__SRS015040__bin.7	putative
